age,radius,mass,convective_radius,radiative_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
9.854710039799999777e+02,7.115862222020882477e+00,6.999999999999997335e-01,3.598337221681124909e-01,3.090217218963056331e-02,8.036330607714782526e-03,7.155734338404329264e-18,1.405734730118462217e+01
2.217309759000000213e+03,7.110761719857753071e+00,6.999999999999997335e-01,3.589105982015447505e-01,3.082289519581416989e-02,8.015714059208587858e-03,1.647678837572765648e-02,1.404071170354934139e+01
3.757108202700000220e+03,7.095490466828239029e+00,6.999999999999997335e-01,3.561412263018414737e-01,3.058506421436498618e-02,7.953864413690003854e-03,3.286970531608869595e-02,1.399091286325850803e+01
5.681856257299999925e+03,7.070138136311125976e+00,6.999999999999997335e-01,3.515256064690026605e-01,3.018867924528301216e-02,7.850781671159028779e-03,4.909482389182088374e-02,1.390821581462773437e+01
7.681856257299999925e+03,7.034856838433484860e+00,6.999999999999997335e-01,3.450637387030283110e-01,2.963374028856825132e-02,7.706465831615664369e-03,6.506822170377585257e-02,1.379310772610930869e+01
9.681856257299999925e+03,6.989859936351898284e+00,6.999999999999997335e-01,3.367556230039184806e-01,2.892024734422070018e-02,7.520916895059909756e-03,8.070630727762803658e-02,1.364639581870483731e+01
1.168185625699999946e+04,6.935424555935580493e+00,6.999999999999997335e-01,3.266012593716731693e-01,2.804820041224036567e-02,7.294134861491766673e-03,9.592523409363745701e-02,1.346877850007927435e+01
1.368185625699999946e+04,6.871891490860493334e+00,6.999999999999997335e-01,3.146006478062922662e-01,2.701759949262723393e-02,7.026119730911231653e-03,1.106409028517067183e-01,1.326140900133638212e+01
1.568185625699999946e+04,6.799668838705292373e+00,6.999999999999997335e-01,3.007537883077758822e-01,2.582844458538131882e-02,6.716871503318308165e-03,1.247698183424313101e-01,1.302571095608054108e+01
1.768185625699999946e+04,6.719234649255927394e+00,6.999999999999997335e-01,2.850606808761239619e-01,2.448073569050260648e-02,6.366390178712992738e-03,1.382285612358150617e-01,1.276326301841491073e+01
1.968185625699999946e+04,6.631139459330900543e+00,6.999999999999997335e-01,2.675213255113365607e-01,2.297447280799111771e-02,5.974675757095290578e-03,1.509334684817322803e-01,1.247542395071235788e+01
2.168185625699999946e+04,6.536007455208497241e+00,6.999999999999997335e-01,2.481357222134135676e-01,2.130965593784682824e-02,5.541728238465195612e-03,1.628009019456839179e-01,1.216471566739903132e+01
2.368185625699999946e+04,6.434551547713423858e+00,6.999999999999997335e-01,2.269038709823551492e-01,1.948628508006975887e-02,5.067547622822713045e-03,1.737476325624589535e-01,1.183312335500237467e+01
2.568185625699999946e+04,6.327564706788374238e+00,6.999999999999997335e-01,2.038257718181611944e-01,1.750436023465989574e-02,4.552133910167840275e-03,1.836902543658972820e-01,1.148359926612154069e+01
2.768185625699999946e+04,6.215938776189720016e+00,6.999999999999997335e-01,1.789014247208317032e-01,1.536388140161724751e-02,3.995487100500577302e-03,1.925460436249971652e-01,1.111889052979682191e+01
2.968185625699999946e+04,6.100663304491606986e+00,6.999999999999997335e-01,1.521308296903666479e-01,1.306484858094180551e-02,3.397607193820923691e-03,2.002317846383836475e-01,1.074254948016942279e+01
3.168185625699999946e+04,5.982837865410314038e+00,6.999999999999997335e-01,1.235139867267661534e-01,1.060726177263358015e-02,2.758494190128881612e-03,2.066646866293687101e-01,1.035791041699698667e+01
3.368185625699999946e+04,5.863681465718361352e+00,6.999999999999997335e-01,9.305089583003008091e-02,7.991120976692561023e-03,2.078148089424448463e-03,2.117621219053658910e-01,9.969526467190647168e+00
3.568185625699999946e+04,5.744545128768486997e+00,6.999999999999997335e-01,6.074155700015852061e-02,5.216426193118754197e-03,1.356568891707625761e-03,2.154422208883552958e-01,9.581679358535865276e+00
