age,radius,mass,convective_radius,convective_mass,radiative_moment_of_inertia,convective_moment_of_inertia,luminosity
1.013709624300000025e+06,2.935214803959318886e+00,1.499999999999999778e+00,6.411000000000001142e-01,7.850899999999996770e-02,8.580000000000003639e-04,1.994032238555799585e-01,4.038189721171487001e+00
1.033709624300000025e+06,2.934412776506828635e+00,1.499999999999999778e+00,6.541130150173275482e-01,8.710244152755437785e-02,1.071522231534122703e-03,1.994027950802962357e-01,4.036146050873178126e+00
1.053709624300000025e+06,2.932012481143400962e+00,1.499999999999999778e+00,6.665139867267659834e-01,9.522734048336316259e-02,1.280551314865568729e-03,1.993632557928831373e-01,4.029695078031211963e+00
1.073709624300000025e+06,2.928027038891027445e+00,1.499999999999999778e+00,6.794749394097259199e-01,1.038667903463272174e-01,1.491723142087023491e-03,1.992987578427596329e-01,4.019152664839519495e+00
1.093709624300000025e+06,2.922481624272349698e+00,1.499999999999999778e+00,6.920930779859112425e-01,1.123303130082221324e-01,1.699501098552627827e-03,1.992150895830030466e-01,4.004394776778634757e+00
1.113709624300000025e+06,2.915409465446555437e+00,1.499999999999999778e+00,7.045120433078890798e-01,1.207652047838003867e-01,1.913000475661962062e-03,1.991018360551767563e-01,3.985715237038211622e+00
1.133709624300000025e+06,2.906855338512762899e+00,1.499999999999999778e+00,7.169569548574143969e-01,1.293538680830822740e-01,2.133249360121407343e-03,1.989772203220910030e-01,3.963183537565967640e+00
1.153709624300000025e+06,2.896873405966159609e+00,1.499999999999999778e+00,7.291132052821127640e-01,1.378892213866678429e-01,2.357964053545946476e-03,1.988191721216788777e-01,3.936657228929305141e+00
1.173709624300000025e+06,2.885525680989375008e+00,1.499999999999999778e+00,7.409158486035919422e-01,1.463490993000973461e-01,2.579281048268363373e-03,1.986432610025141987e-01,3.906753561802079222e+00
1.193709624300000025e+06,2.872888156923145253e+00,1.499999999999999778e+00,7.523128156923147847e-01,1.547199923441073544e-01,2.820608371650546765e-03,1.984494688441413579e-01,3.873331604339847800e+00
1.213709624300000025e+06,2.859044270764909523e+00,1.499999999999999778e+00,7.629566830505785102e-01,1.627806250424697898e-01,3.052471539559219529e-03,1.982327083286144209e-01,3.836692677070826729e+00
1.233709624300000025e+06,2.844087301411130309e+00,1.499999999999999778e+00,7.735110534779947589e-01,1.709827901198214817e-01,3.292440757435047619e-03,1.980022770617680949e-01,3.797152596887810816e+00
1.253709624300000025e+06,2.828122237423271734e+00,1.499999999999999778e+00,7.836035516093226017e-01,1.791268939047316322e-01,3.540180819497608204e-03,1.977467041156085181e-01,3.754968221250763349e+00
1.273709624300000025e+06,2.811263527146707020e+00,1.499999999999999778e+00,7.934317289179818600e-01,1.873549283788987219e-01,3.802339169630114708e-03,1.974833959999093003e-01,3.710487961222224573e+00
1.293709624300000025e+06,2.793637608326348776e+00,1.499999999999999778e+00,8.022693786948740247e-01,1.951751456884640024e-01,4.062861650320505856e-03,1.971966420530475439e-01,3.664072323268928955e+00
1.313709624300000025e+06,2.775380139074496544e+00,1.499999999999999778e+00,8.109349226483044681e-01,2.031561506715893473e-01,4.333557996783618353e-03,1.968898783664409236e-01,3.616130082221567399e+00
1.333709624300000025e+06,2.756638802917393161e+00,1.499999999999999778e+00,8.188939069967606788e-01,2.109810911685428836e-01,4.609551043058731853e-03,1.965688264739857971e-01,3.566983306530157716e+00
1.353709624300000025e+06,2.737571878411741988e+00,1.499999999999999778e+00,8.262727513646965782e-01,2.187230689030329467e-01,4.901688939726833207e-03,1.962271820426282620e-01,3.517058076060613381e+00
1.373709624300000025e+06,2.718349670434211163e+00,1.499999999999999778e+00,8.331061496296631175e-01,2.262468448209472571e-01,5.193890393893407093e-03,1.958826555527871660e-01,3.466760832634939504e+00
1.393709624300000025e+06,2.699152942535503641e+00,1.499999999999999778e+00,8.394067385444742291e-01,2.338152677070828023e-01,5.510190695145983190e-03,1.955181365376338909e-01,3.416879951980792196e+00
1.413709624300000025e+06,2.680176128791138535e+00,1.499999999999999778e+00,8.455336428911186530e-01,2.415361858026228437e-01,5.825134340528660866e-03,1.951562039910303414e-01,3.367734897732677091e+00
1.433709624300000025e+06,2.661624661034224015e+00,1.499999999999999778e+00,8.512121769462498433e-01,2.491664966816915516e-01,6.148328818319778039e-03,1.947837020091055249e-01,3.319886996307956029e+00
1.453709624300000025e+06,2.643715721307390076e+00,1.499999999999999778e+00,8.563455910666151194e-01,2.566972898140387760e-01,6.479033907902782830e-03,1.944016811252803345e-01,3.274062221114860449e+00
1.473709624300000025e+06,2.626682388729075779e+00,1.499999999999999778e+00,8.609974223651721825e-01,2.641912628825114906e-01,6.816635801490407605e-03,1.940121268884911765e-01,3.230718340166254254e+00
1.493709624300000025e+06,2.610768312306053218e+00,1.499999999999999778e+00,8.653893904731700948e-01,2.714935251987587450e-01,7.162820109175743397e-03,1.936191077940609406e-01,3.190508165530362650e+00
1.513709624300000025e+06,2.596230905796280464e+00,1.499999999999999778e+00,8.696371333439032458e-01,2.789154231352916624e-01,7.514084713130533659e-03,1.932234542118733966e-01,3.154377018732020144e+00
1.533709624300000025e+06,2.583342365172484278e+00,1.499999999999999778e+00,8.736026772973337629e-01,2.862313583546625129e-01,7.868919635778834354e-03,1.928262699041881079e-01,3.122986047249087349e+00
1.553709624300000025e+06,2.570728090103965080e+00,1.499999999999999778e+00,8.773950825613261451e-01,2.935282356791772962e-01,8.225715871254160594e-03,1.924242388276064808e-01,3.092425468300526337e+00
1.573709624300000025e+06,2.558379723663050331e+00,1.499999999999999778e+00,8.806546037282834138e-01,3.004190751998912501e-01,8.584793472105818266e-03,1.920172676617816487e-01,3.062593920587102669e+00
1.593709624300000025e+06,2.546288309361479207e+00,1.499999999999999778e+00,8.843136288477652096e-01,3.076002761783959150e-01,8.948061881356317998e-03,1.916035133298601978e-01,3.033583841083600685e+00
1.613709624300000025e+06,2.534445001925297980e+00,1.499999999999999778e+00,8.878649097374795574e-01,3.148446888491243656e-01,9.326630682461660785e-03,1.911719760356972442e-01,3.005349385037032306e+00
1.633709624300000025e+06,2.522842115563206367e+00,1.499999999999999778e+00,8.911124872590543422e-01,3.219243015696844346e-01,9.703734331468436350e-03,1.907395714512219453e-01,2.977790097170942563e+00
1.653709624300000025e+06,2.511472109674057762e+00,1.499999999999999778e+00,8.942658361457790361e-01,3.289403973136423298e-01,1.007906188135631285e-02,1.903061405694353170e-01,2.950995130127521460e+00
1.673709624300000025e+06,2.500327573217965949e+00,1.499999999999999778e+00,8.975152846044075483e-01,3.359759918684455116e-01,1.045521683390337152e-02,1.898695059910756600e-01,2.924875218011731892e+00
1.693709624300000025e+06,2.489402521234908239e+00,1.499999999999999778e+00,9.004878117284648154e-01,3.429116403089537135e-01,1.083401232190988987e-02,1.894277356225508580e-01,2.899234342793720387e+00
1.713709624300000025e+06,2.478689653219777966e+00,1.499999999999999778e+00,9.034235701827895149e-01,3.496876869917778796e-01,1.121363720582572651e-02,1.889825459240299932e-01,2.874290969217874636e+00
